Source,Target,Type,Id,Label,timeset,Weight
BeingSalmanKhan,iamsrk,Directed,0,,,1
BeingSalmanKhan,aamir_khan,Directed,1,,,1
BeingSalmanKhan,Asli_Jacqueline,Directed,2,,,1
BeingSalmanKhan,MirzaSania,Directed,3,,,1
BeingSalmanKhan,realpreityzinta,Directed,4,,,1
BeingSalmanKhan,TheSlyStallone,Directed,5,,,1
BeingSalmanKhan,theathiyashetty,Directed,6,,,1
BeingSalmanKhan,arbaazSkhan,Directed,7,,,1
BeingSalmanKhan,khanarpita,Directed,8,,,1
BeingSalmanKhan,ShahDaisy25,Directed,9,,,1
BeingSalmanKhan,PulkitSamrat,Directed,10,,,1
BeingSalmanKhan,iamsnehaullal,Directed,11,,,1
BeingSalmanKhan,tweetbeinghuman,Directed,12,,,1
BeingSalmanKhan,luvsalimkhan,Directed,13,,,1
BeingSalmanKhan,IuliaVantur,Directed,14,,,1
BeingSalmanKhan,SohailKhan,Directed,15,,,1
BeingSalmanKhan,binaakak,Directed,16,,,1
BeingSalmanKhan,impoornapatel,Directed,17,,,1
BeingSalmanKhan,Vinayvirmani24,Directed,18,,,1
BeingSalmanKhan,atulreellife,Directed,19,,,1
BeingSalmanKhan,NirvanKhan15,Directed,20,,,1
BeingSalmanKhan,arhaankhan0798,Directed,21,,,1
BeingSalmanKhan,Iamwaluscha,Directed,22,,,1
BeingSalmanKhan,patel_jordy,Directed,23,,,1
iamsrk,shakira,Directed,24,,,1
iamsrk,SrBachchan,Directed,25,,,1
iamsrk,BeingSalmanKhan,Directed,26,,,1
iamsrk,sachin_rt,Directed,27,,,1
iamsrk,iHrithik,Directed,28,,,1
iamsrk,EmmaWatson,Directed,29,,,1
iamsrk,deepikapadukone,Directed,30,,,1
iamsrk,priyankachopra,Directed,31,,,1
iamsrk,LeoDiCaprio,Directed,32,,,1
iamsrk,karanjohar,Directed,33,,,1
iamsrk,paulocoelho,Directed,34,,,1
iamsrk,juniorbachchan,Directed,35,,,1
iamsrk,shahidkapoor,Directed,36,,,1
iamsrk,SethMacFarlane,Directed,37,,,1
iamsrk,FarOutAkhtar,Directed,38,,,1
iamsrk,TheOnion,Directed,39,,,1
