Id,Label,timeset,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
BeingSalmanKhan,BeingSalmanKhan,,4,0.337853,0.390747,225.492857
iamsrk,iamsrk,,3,0.469388,0.534002,971.905952
aamir_khan,aamir_khan,,4,0.361111,0.399944,138.29881
Asli_Jacqueline,Asli_Jacqueline,,0,0,0,0
MirzaSania,MirzaSania,,0,0,0,0
realpreityzinta,realpreityzinta,,0,0,0,0
TheSlyStallone,TheSlyStallone,,0,0,0,0
theathiyashetty,theathiyashetty,,0,0,0,0
arbaazSkhan,arbaazSkhan,,0,0,0,0
khanarpita,khanarpita,,0,0,0,0
ShahDaisy25,ShahDaisy25,,0,0,0,0
PulkitSamrat,PulkitSamrat,,0,0,0,0
iamsnehaullal,iamsnehaullal,,0,0,0,0
tweetbeinghuman,tweetbeinghuman,,0,0,0,0
luvsalimkhan,luvsalimkhan,,0,0,0,0
IuliaVantur,IuliaVantur,,0,0,0,0
SohailKhan,SohailKhan,,0,0,0,0
binaakak,binaakak,,0,0,0,0
impoornapatel,impoornapatel,,0,0,0,0
Vinayvirmani24,Vinayvirmani24,,0,0,0,0
atulreellife,atulreellife,,0,0,0,0
NirvanKhan15,NirvanKhan15,,0,0,0,0
arhaankhan0798,arhaankhan0798,,0,0,0,0
Iamwaluscha,Iamwaluscha,,0,0,0,0
patel_jordy,patel_jordy,,0,0,0,0
shakira,shakira,,0,0,0,0
SrBachchan,SrBachchan,,0,0,0,0
sachin_rt,sachin_rt,,4,0.358084,0.447603,414.269048
iHrithik,iHrithik,,3,0.458589,0.525641,741.530952
EmmaWatson,EmmaWatson,,0,0,0,0
deepikapadukone,deepikapadukone,,3,0.471609,0.535674,274.05119
priyankachopra,priyankachopra,,3,0.531083,0.575251,991.720238
LeoDiCaprio,LeoDiCaprio,,0,0,0,0
karanjohar,karanjohar,,4,0.349299,0.380435,161.15
paulocoelho,paulocoelho,,0,0,0,0
juniorbachchan,juniorbachchan,,0,0,0,0
shahidkapoor,shahidkapoor,,0,0,0,0
SethMacFarlane,SethMacFarlane,,0,0,0,0
FarOutAkhtar,FarOutAkhtar,,0,0,0,0
TheOnion,TheOnion,,0,0,0,0
Riteishd,Riteishd,,0,0,0,0
sardesairajdeep,sardesairajdeep,,0,0,0,0
anandmahindra,anandmahindra,,0,0,0,0
ShashiTharoor,ShashiTharoor,,0,0,0,0
BDUTT,BDUTT,,0,0,0,0
TheFarahKhan,TheFarahKhan,,0,0,0,0
TheVijayMallya,TheVijayMallya,,0,0,0,0
